Domain,Area,Element,Item,Year,Unit,Value
"Emissions intensities","United States of America","Production","Meat, cattle","1979","tonnes","9925000"
"Emissions intensities","United States of America","Production","Meat, cattle","1980","tonnes","9998990"
"Emissions intensities","United States of America","Production","Meat, cattle","1981","tonnes","10353000"
"Emissions intensities","United States of America","Production","Meat, cattle","1982","tonnes","10425000"
"Emissions intensities","United States of America","Production","Meat, cattle","1983","tonnes","10746000"
"Emissions intensities","United States of America","Production","Meat, cattle","1984","tonnes","10927000"
"Emissions intensities","United States of America","Production","Meat, cattle","1985","tonnes","10996000"
"Emissions intensities","United States of America","Production","Meat, cattle","1986","tonnes","11292000"
"Emissions intensities","United States of America","Production","Meat, cattle","1987","tonnes","10884000"
"Emissions intensities","United States of America","Production","Meat, cattle","1988","tonnes","10879000"
"Emissions intensities","United States of America","Production","Meat, cattle","1989","tonnes","10633000"
"Emissions intensities","United States of America","Production","Meat, cattle","1990","tonnes","10465000"
"Emissions intensities","United States of America","Production","Meat, cattle","1991","tonnes","10316064"
"Emissions intensities","United States of America","Production","Meat, cattle","1992","tonnes","10394989"
"Emissions intensities","United States of America","Production","Meat, cattle","1993","tonnes","10471646"
"Emissions intensities","United States of America","Production","Meat, cattle","1994","tonnes","10454863"
"Emissions intensities","United States of America","Production","Meat, cattle","1995","tonnes","11061317"
"Emissions intensities","United States of America","Production","Meat, cattle","1996","tonnes","11441428"
"Emissions intensities","United States of America","Production","Meat, cattle","1997","tonnes","11578866"
"Emissions intensities","United States of America","Production","Meat, cattle","1998","tonnes","11562083"
"Emissions intensities","United States of America","Production","Meat, cattle","1999","tonnes","11684553"
"Emissions intensities","United States of America","Production","Meat, cattle","2000","tonnes","12016583"
"Emissions intensities","United States of America","Production","Meat, cattle","2001","tonnes","12195753"
"Emissions intensities","United States of America","Production","Meat, cattle","2002","tonnes","11890031"
"Emissions intensities","United States of America","Production","Meat, cattle","2003","tonnes","12334552"
"Emissions intensities","United States of America","Production","Meat, cattle","2004","tonnes","11947637"
"Emissions intensities","United States of America","Production","Meat, cattle","2005","tonnes","11180612"
"Emissions intensities","United States of America","Production","Meat, cattle","2006","tonnes","11242845"
"Emissions intensities","United States of America","Production","Meat, cattle","2007","tonnes","11909626"
"Emissions intensities","United States of America","Production","Meat, cattle","2008","tonnes","12030872"
"Emissions intensities","United States of America","Production","Meat, cattle","2009","tonnes","12091245"
"Emissions intensities","United States of America","Production","Meat, cattle","2010","tonnes","11818953"
"Emissions intensities","United States of America","Production","Meat, cattle","2011","tonnes","11969954"
"Emissions intensities","United States of America","Production","Meat, cattle","2012","tonnes","11916067"
"Emissions intensities","United States of America","Production","Meat, cattle","2013","tonnes","11788608"
"Emissions intensities","United States of America","Production","Meat, cattle","2014","tonnes","11698116"
"Emissions intensities","United States of America","Production","Meat, cattle","2015","tonnes","10777601"
"Emissions intensities","United States of America","Production","Meat, cattle","2016","tonnes","11470607"
"Emissions intensities","United States of America","Production","Meat, cattle","2017","tonnes","11907239"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1961","tonnes","57019696"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1962","tonnes","57266448"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1963","tonnes","56790624"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1964","tonnes","57591216"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1965","tonnes","56323872"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1966","tonnes","54390880"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1967","tonnes","53855648"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1968","tonnes","53172096"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1969","tonnes","52665424"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1970","tonnes","53073200"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1971","tonnes","53780352"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1972","tonnes","54442144"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1973","tonnes","52385568"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1974","tonnes","52428656"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1975","tonnes","52343376"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1976","tonnes","54512448"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1977","tonnes","55634624"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1978","tonnes","55093488"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1979","tonnes","55950608"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1980","tonnes","58244000"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1981","tonnes","60223008"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1982","tonnes","61464000"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1983","tonnes","63316000"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1984","tonnes","61439000"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1985","tonnes","64930000"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1986","tonnes","64920000"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1987","tonnes","64731008"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1988","tonnes","65786000"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1989","tonnes","65269000"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1990","tonnes","67005000"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1991","tonnes","66994251"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1992","tonnes","68423068"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1993","tonnes","68327360"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1994","tonnes","69672715"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1995","tonnes","70439286"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1996","tonnes","69855966"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1997","tonnes","70801707"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1998","tonnes","71332863"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","1999","tonnes","73749151"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2000","tonnes","75928209"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2001","tonnes","74993355"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2002","tonnes","77139301"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2003","tonnes","77268575"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2004","tonnes","77488114"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2005","tonnes","80254574"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2006","tonnes","82454951"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2007","tonnes","84211262"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2008","tonnes","86172596"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2009","tonnes","85820608"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2010","tonnes","87487560"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2011","tonnes","89019796"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2012","tonnes","91009706"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2013","tonnes","91276872"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2014","tonnes","93464549"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2015","tonnes","94618978"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2016","tonnes","96346276"
"Emissions intensities","United States of America","Production","Milk, whole fresh cow","2017","tonnes","97734736"
